abandon,"vt.放弃,遗弃;n.放任,狂热"
necessarily,adv.必要地
necessity,"n.必要性,需要,必需品"
negative,"n.否定,负数,底片;adj.否定的,消极的,负的,阴性的;vt.否定,拒绝(接受)"
neglect,"vt.忽视,疏忽,漏做;n.忽视,疏忽,漏做"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
Negro,n.黑人
neighbourhood,n.邻居关系(美作：neighborhood)
nephew,"n.侄子,外甥"
nerve,"n.神经,胆量,勇气,叶脉;vt.鼓起勇气"
nest,"n.巢,窝,休息所,隐匿处,舒适的地方,(可以一个套一个的)一套器具;vi.筑巢,找鸟巢;vt.造巢,使套入"
network,"n.网络,网状物,广播网"
neutral,"n.中立者,中立国,非彩色,齿轮的空档;adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
nevertheless,"conj.然而,不过;adv.仍然,不过"
niece,"n.侄女,甥女"
nightmare,"n.梦魇,恶梦,可怕的事物"
nitrogen,n.[化]氮
nonsense,"n.胡说,废话"
normal,"n.正规,常态,[数学]法线;adj.正常的,正规的,标准的"
normally,"adv.正常地,通常地"
notebook,"n.笔记簿,笔记本"
noticeable,"adj.显而易见的,值得注意的"
notify,v.通报
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
nowhere,"adv.无处,到处都无"
nuclear,"adj.[核]核子的,原子能的,核的,中心的"
nucleus,"[nuclear的复数,见nuclear];n.核子"
nuisance,"n.讨厌的人或东西,麻烦事,损害"
poetry,"n.诗,作诗法,诗意,诗情"
poison,"n.毒药,败坏道德之事,毒害;vt.毒害,败坏,使中毒;vi.放毒,下毒"
poisonous,adj.有毒的
pole,"n.棒,柱,杆,竿,极,磁极,电极;vt.用竿支撑,用棒推;vi.撑篙"
policy,"n.政策,方针"
polish,"n.磨光,光泽,上光剂,优雅,精良;vt.擦亮,发亮,磨光,推敲;vi.发亮,变光滑;adj.波兰的;n.波兰人"
politician,"n.政治家,政客"
politics,"n.政治,政治学,政纲,政见"
poll,"n.选举之投票,民意测验;v.投票,获得选票,选举中获得"
pollute,"vt.弄脏,污染"
pollution,"n.污染,玷污"
pond,n.池塘;v.筑成池塘
portable,"adj.轻便的,手提(式)的,便携式的"
porter,"n.守门人,门房,行李搬运工"
portion,"n.一部分,一分"
portrait,"n.肖像,人像"
pose,"n.姿势,姿态;v.(使...)摆好姿势,形成,引起,造成;vi.摆姿势,佯装,矫揉造作"
positive,"adj.肯定的,实际的,积极的,绝对的,确实的;adj.[数]正的;adj.[电]阳的;adj.[语法]原级的"
possess,"vt.占有,拥有,持有,摆布,支配"
possession,"n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制"
possibility,"n.可能性,可能发生的事物"
postage,n.邮资
postpone,"vt.推迟,使延期,延迟"
potential,"adj.潜在的,可能的,势的,位的;n.潜能,潜力,电压"
pour,"v.灌注,倾泻,涌入,流,倾盆大雨"
poverty,"n.贫穷,贫困,贫乏,缺少"
powder,"n.粉,粉末,火药,尘土;vt.搽粉于,撒粉,使成粉末;vi.搽粉,变成粉末"
powerful,"adj.强大的,有力的"
practically,"adv.实际上,事实上,在实践上;adv.几乎,简直"
pray,"v.祈祷,恳求,请"
prayer,n.祈祷
precaution,"n.预防,警惕,防范"
preceding,"adj.在前的,前述的"
precious,"adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的"
precise,"adj.精确的,准确的;n.精确"
precision,"n.精确,精密度,精度"
predict,"v.预知,预言,预报"
preface,"n.序文,绪言,前言;vi.作序,写前言;vt.为...写序言,开始"
preferable,"adj.更可取的,更好的,更优越的"
preference,"n.偏爱,优先选择"
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
prejudice,"n.偏见,成见,损害,侵害;v.损害"
preliminary,"adj.预备的,初步的"
preparation,"n.准备,预备"
preposition,n.前置词
prescribe,"v.指示,规定,处(方),开(药)"
presence,"n.出席,到场,存在"
presentation,"n.介绍,陈述,赠送,表达"
presently,"adv.目前,不久"
preserve,"vt.保护,保持,保存,保藏;vi.做蜜饯,禁猎;n.蜜饯,果酱,禁猎地,禁区,防护物"
pressure,"n.压,压力,电压,压迫,强制,紧迫"
presumably,"adv.推测起来,大概"
pretend,"vt.假装,装扮,(作为藉口或理由)伪称"
prevail,"vi.流行,盛行,获胜,成功"
previous,"adj.在前的,早先的;adv.在...以前;返回上一级菜单"
priest,n.牧师
primarily,"adv.首先,起初,主要地,根本上"
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
prime,"n.最初,青春,精华;adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的;v.预先准备好,<口>让人吃(喝)足,灌注,填装"
primitive,"adj.原始的,远古的,粗糙的,简单的"
principal,"n.负责人,首长,校长,主犯,本金;adj.主要的,首要的"
principle,"n.法则,原则,原理"
prior,"adj.优先的,在前的;n.预先;adv.在"
priority,"n.先,前,优先,优先权"
private,"adj.私人的,私有的,私营的,秘密的;n.士兵"
privilege,"n.特权,特别待遇,基本公民权力,特免;vt.给与...特权,特免"
probable,"adj.很可能的,大概的"
procedure,"n.程序,手续"
proceed,"vi.进行,继续下去,发生"
process,"n.过程,作用,方法,程序,步骤,进行,推移;vt.加工,处理"
procession,"n.行列,队伍"
product,"n.产品,产物,乘积"
profession,"n.职业,专业,表白,宣布"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人;adj.专业的,职业的"
profile,"n.剖面,侧面,外形,轮廓"
profit,"n.利润,益处,得益;vi.得益,利用;vt.有益于,有利于"
progressive,"n.改革论者,进步论者;adj.前进的,(税收)累进的,进步的"
prohibit,"vt.禁止,阻止"
project,"n.计划,方案,事业,企业,工程;v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
prominent,"adj.卓越的,显著的,突出的"
promote,"vt.促进,发扬,提升,提拔,晋升为"
response,"n.回答,响应,反应"
responsibility,"n.责任,职责"
responsible,"adj.有责任的,可靠的,可依赖的,负责的"
restless,"adj.得不到休息的,不平静的,不安宁的"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
restrain,"vt.抑制,制止"
restraint,"n.抑制,制止,克制"
restrict,"vt.限制,约束,限定"
result,"n.结果,成效,计算结果;vi.起因,由于,以...为结果,导致"
resume,"n.摘要,概略,<美>履历;vt.再继续,重新开始,重新占用,再用,恢复"
retain,"vt.保持,保留"
retire,"vi.退休,引退,退却,撤退,就寝"
retreat,"vi.撤退,退却;n.撤退,退却"
reveal,"vt.展现,显示,揭示,暴露"
revenue,"n.收入,国家的收入,税收"
reverse,"n.相反,背面,反面,倒退;adj.相反的,倒转的,颠倒的;vt.颠倒,倒转"
revise,"vt.修订,校订,修正,修改"
revolt,"v.反抗,起义,反叛,反感,厌恶"
revolutionary,adj.革命的
reward,"n.报酬,奖金;vt.酬劳,奖赏"
rhythm,"n.节奏,韵律"
rib,n.肋骨
ribbon,"n.缎带,丝带,带,带状物,带子"
rid,"vt.使摆脱,使去掉"
ridge,"n.背脊,山脊,屋脊,山脉,犁垄;v.起皱,成脊状延伸,翻土作垄"
ridiculous,"adj.荒谬的,可笑的"
rifle,"n.来复枪,步枪,来复线,膛线;vt.用步枪射击,抢夺;vi.掠夺"
rigid,"adj.刚硬的,刚性的,严格的"
riot,"n.暴乱,骚动,(植物,疾病等)蔓延,放荡,暴动;v.骚乱,放纵,挥霍,参加骚动"
ripe,"adj.熟的,成熟的,时机成熟的;v.成熟"
risk,"vt.冒...的危险;n.冒险,风险"
rival,"n.竞争者,对手;v.竞争,对抗,相匹敌"
roar,"n.吼叫,怒号;vi.吼叫,怒号;v.滚动,咆哮"
roast,"v.烤,烘,烘烤,暴露于某种热力下以得温暖"
rob,"v.抢夺,抢掠,剥夺"
rocket,n.火箭;v.飞速上升
rod,"n.杆,棒"
roller,"n.滚筒,辊子"
romantic,"adj.传奇式的,浪漫的,空想的,夸大的"
rope,"n.绳,索,绳索;v.围起"
rotate,v.(使)旋转
rotten,"adj.腐烂的,恶臭的,堕落的,(岩石等)风化的,虚弱的,无用的"
rouse,"v.唤醒,激起,使振奋,惊起;n.觉醒,奋起"
route,"n.路线,路程,通道;v.发送"
routine,"n.例行公事,常规,日常事务,程序"
royal,"adj.王室的,皇家的,第一流的,高贵的"
rub,"v.擦,摩擦;rt.(～along)和谐相处,(～off)擦掉,擦破,(～out)把(记号,笔记,笔迹等)擦掉"
rude,"adj.粗鲁的,无礼的,猛烈的,残暴的,粗鲁无礼的"
rug,"n.(小)地毯,垫子"
ruin,"v.(使)破产,(使)堕落,毁灭;n.毁灭,崩溃,废墟,遗迹"
rumour,"n.[亦作rumor]谣言,传闻;v.谣传"
rural,"adj.乡下的,田园的,乡村风味的,生活在农村的"
rust,n.铁锈;vt.(使)生锈
sack,"n.大袋,大袋之量,麻布袋,短而松的袍装,布袋装,洗劫;vt.解雇,装入袋,洗劫,就寝"
sacrifice,"n.牺牲,献身,祭品,供奉;v.牺牲,献出,献祭,供奉"
saddle,"n.鞍,鞍状物;v.承受"
sailor,"n.海员,水手,不大会晕船的人,船员"
saint,"n.圣人,道德崇高的人,圣徒;adj.神圣;v.成为圣徒"
sake,"n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒"
salad,n.色拉
salary,n.薪水;vt.给...加薪
salesman,"n.售货员,推销员"
sample,"n.标本,样品,例子;vt.取样,采样,抽取...的样品,试验的一部分,尝试"
sanction,"n.批准,同意,支持,制裁,认可;v.批准,同意,支持,鼓励,认可"
satellite,n.人造卫星
satisfactory,"adj.满意的,赎罪的"
sauce,"n.沙司,酱油,调味料;vt.调味,使增加趣味"
saucer,"n.茶托,碟子,茶碟"
sausage,"n.香肠,腊肠"
saving,"n.存款,挽救,救助,节约;adj.搭救的,挽救的,节约的,节俭的,保留的,补偿的;prep.除...之外,考虑到"
scale,"n.刻度,衡量,比例,数范围,比例尺,天平,等级;vt.比例决定,攀登,测量;vi.剥落,生水垢,重,攀登,衡量"
scan,"v.细看,审视,浏览,扫描;n.扫描"
scandal,"n.丑行,丑闻,诽谤,耻辱,流言蜚语"
scarce,"adj.缺乏的,不足的,稀有的,不充足的"
scarcely,"adv.几乎不,简直没有"
scare,"v.惊吓,受惊,威吓;n.惊恐,恐慌,恐惧"
scatter,"v.分散,散开,撒开,驱散"
scenery,"n.风景,景色"
schedule,"n.时间表,进度表;v.确定时间"
scheme,"n.安排,配置,计划,阴谋,方案,图解,摘要;v.计划,设计,图谋,策划"
scholar,n.学者
stir,"n.轰动,搅动,监牢;vt.动,移动,摇动,激起,搅和,惹起;vi.走动,传播,流行"
stock,"n.树干,库存,股票,股份,托盘,祖先,血统,原料;adj.股票的,普通的,常备的,存货的,繁殖用的;vt.装把手于,进货,备有,放牧;vi.出新芽,采购"
stocking,n.长袜
stoop,"n.弯腰,屈背,屈服;vi.弯下,弯下上身,屈服,弯腰,堕落;vt.俯曲,辱没"
storage,"n.贮藏(量),贮藏库,存储"
stove,n.炉
strain,"n.过度的疲劳,紧张,张力,应变;vt.扭伤,损伤;v.拉紧,扯紧,(使)紧张,尽力"
strap,"n.带,皮带;vt.用带缚住,用带捆扎"
strategic,"adj.战略的,战略上的"
strategy,"n.策略,军略"
straw,"n.稻草,麦杆"
stream,"n.溪,川,流,一股,一串,河流;v.流,涌,流注"
strengthen,"v.加强,巩固"
stress,"n.重压,逼迫,压力,重点,着重,强调,重音;vt.着重,强调,重读"
stretch,"v.伸展,伸长;n.一段时间,一段路程,伸展"
striking,"adj.打击的,显著的,惊人的,罢工的"
string,"n.线,细绳,一串,一行;v.排成一列"
strip,"vt.剥,剥去;n.条,带"
stripe,"n.斑纹,条纹"
stroke,"n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击;vt.抚摸"
structure,"n.结构,构造,建筑物;vt.建筑,构成,组织"
studio,"n.画室,照相室,工作室,(无线电或电视节目的)演播室,(制作电影的)摄影棚,(电影公司的)摄影场"
stuff,"n.原料,材料,素材资料;vt.塞满,填满,填充"
subject,"n.题目,主题,科目,学科,国民,[语法]主语;adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的;vt.使屈从于...,使隶属"
submerge,"v.浸没,淹没,掩没;vi.潜水"
submit,"v.(使)服从,(使)顺从;vt.提交,递交"
subsequent,"adj.后来的,并发的"
substance,"n.物质,实质,主旨"
substantial,"adj.坚固的,实质的,真实的,充实的"
substitute,"n.代用品,代替者,替代品;v.代替,替换,替代"
subtract,"v.(～from)减去,减"
suburb,"n.市郊,郊区"
subway,"n.地道,<美>地铁"
succession,"n.连续,继承,继任,演替,[农业]轮栽,连续性"
successive,"adj.继承的,连续的"
suck,"v.吸,吮,吸取"
suffer,"vt.遭受,经历,忍受;vi.受痛苦,受损害"
sufficient,"adj.充分的,足够的"
suggestion,"n.提议,意见,暗示,微量"
suicide,"n.自杀,自毁,给自己带来伤害或损失的行为"
sum,"n.总数,和,金额,算术题"
summarize,"v.概述,总结,摘要而言"
summary,"n.摘要,概要"
summit,"n.顶点,最高阶层;adj.政府首脑的;vi.参加最高级会议的"
sunlight,"n.日光,阳光,日照"
sunrise,n.日出
sunset,"n.日落,晚年"
sunshine,n.阳光
superb,"adj.庄重的,堂堂的,华丽的,极好的"
superficial,"adj.表面的,肤浅的,浅薄的"
superior,"n.长者,高手,上级;adj.较高的,上级的,上好的,出众的,高傲的"
supplement,"n.补遗,补充,附录,增刊;v.补充"
supply,"n.补给,供给,供应品;vt.补给,供给,提供,补充,代理;vi.替代他人职务"
support,"vt.支撑,扶持,支持,支援,拥护,维持,赡养,忍受;n.支撑,支持,支援,维持,赡养,支持者,支柱"
suppose,"vt.推想,假设,猜想;vi.料想;conj.假使...结果会怎样"
supreme,"adj.极度的,极大的,至高的,最高的"
surgery,"n.外科,外科学,手术室,诊疗室"
surplus,"n.剩余,过剩,[会计]盈余;adj.过剩的,剩余的;vt.转让,卖掉"
surrender,"vt.交出,放弃,使投降,听任;vi.投降,自首;n.交出,放弃,投降;投降算了"
surround,"vt.包围,环境;v.围绕"
surrounding,"n.围绕物,环境;adj.周围的"
survey,"n.测量,调查,俯瞰,概观,纵览,视察;vt.调查(收入,民意等)测量,勘定,审视,视察,俯瞰,通盘考虑;vi.测量土地"
survival,"n.生存,幸存,残存,幸存者,残存物"
survive,"v.幸免于,幸存,生还"
suspect,"n.嫌疑犯;adj.令人怀疑的,不可信的,可疑的;v.怀疑,猜想,对...有所觉察"
suspend,"vt.吊,悬挂;v.延缓"
suspicion,"n.猜疑,怀疑"
sustain,"vt.支撑,撑住,维持,持续"
swallow,"n.[鸟]燕子,吞咽,喉;vt.咽,淹没,吞没,取消,忍受,轻信,压制,耗尽;vi.吞下,咽下"
sway,"v.摇摆,摇动"
swear,"vi.诅咒;v.宣誓,发誓"
swell,"v.(使)膨胀,增大"
swift,"n.[鸟]雨燕,(梳棉机等的)大滚筒;adj.迅速的,快的,敏捷的,立刻的;adv.迅速地,敏捷地"
swing,"v.摇摆,摆动,回转,旋转;n.秋千,摇摆,摆动"
switch,"n.开关,电闸,转换;vt.转换,转变"
sword,n.剑
symbol,"n.符号,记号,象征"
sympathetic,"adj.有同情心的,合意的,赞成的;n.[解]交感神经,容易感受的人"
sympathize,"vi.同情,共鸣,同感,同意,吊唁"
sympathy,"n.同情,同情心"
symptom,"n.[医][植]症状,征兆"
veteran,"n.老兵,老手,富有经验的人,退伍军人;adj.老兵的,经验丰富的"
via,"prep.经,通过,经由"
vibrate,"v.(使)振动,(使)摇摆"
vice,"n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷;vt.钳住;prep.代替"
victim,"n.受害人,牺牲者,牺牲品"
video,"n.电视,录象,视频"
viewpoint,n.观点
vigorous,"adj.精力旺盛的,有力的,健壮的"
vinegar,n.醋
violate,"vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴"
violence,"n.猛烈,强烈,暴力,暴虐,暴行,强暴"
violet,n.紫罗兰;adj.紫罗兰色的
violin,"n.小提琴,小提琴手"
virtual,"adj.虚的,实质的,[物]有效的,事实上的"
virtually,"adv.事实上,实质上"
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇(vertu[vE:5tu:]n.艺术品或古董,爱好古董者)"
virus,"n.[微]病毒,滤过性微生物,毒害,恶毒(vires[5vaiEri:z]n.活力)"
visible,"adj.看得见的,明显的,显著的;n.可见物"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象;vt.梦见,想象,显示"
visual,"adj.看的,视觉的,形象的,栩栩如生的"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
vitamin,"n.维他命,维生素"
vivid,"adj.生动的,鲜明的,鲜艳的,大胆的,清晰的,活泼的,逼真的"
vocabulary,"n.词汇,词汇量,词表"
volcano,n.火山
volt,"n.(马术中的)环骑,[击剑]闪避,[电工]伏特"
voltage,"n.[电工]电压,伏特数"
volume,"n.卷,册,体积,量,大量,音量"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
volunteer,"n.志愿者,志愿兵;adj.志愿的,义务的,无偿的;v.自愿"
vote,"n.投票,选票,表决,得票数;vi.投票;vt.投票,投票决定,公认,<口>建议,使投票"
wagon,"n.四轮马车,货车;v.用马车运输货物"
waist,"n.腰部,腰,衣服的上身部分,背心"
waken,vi.醒来;vt.唤醒
wander,"vi.漫步,徘徊,迷路,迷失方向,离题"
warmth,"n.暖和,温暖,热心,热情"
waterproof,"adj.防水的,不透水的"
wax,"n.蜡,蜡状物,增加,月亮由亏转盈;vi.变大,增大,月亮渐满;vt.上蜡于"
weaken,"v.削弱,(使)变弱"
wealth,"n.财富,财产,大量"
wealthy,"adj.富有的,丰裕的,充分的;n.富人,有钱人"
weapon,n.武器
weave,"n.编法,织法,编织;vt.编织,组合,编排,使迂回前进;vi.纺织,迂回行进,摇晃;n.织法,织物"
weed,"n.野草,杂草;v.除草,铲除"
weekly,"adj.每星期的,一周的;adv.每周一次;n.周刊,周报"
weep,"n.哭,哭泣,滴下;vi.哭泣,流泪,哀悼,滴落;vt.哭着使...,悲叹,滴下"
weld,"vt.焊接;n.焊接,焊缝"
welfare,"n.福利,安宁,幸福,福利事业,社会安全;adj.福利的"
well-known,"adj.众所周知的,有名的,清楚明白的"
whale,n.鲸;v.捕鲸
whatsoever,pron.任何，无论什么（用于否定句中以加强语气）
whereas,"conj.然而,反之,鉴于,尽管,但是"
whichever,"pron.无论那一个,任何一个"
whilst,"conj.时时,同时（与while同义）"
whip,"n.鞭子,车夫;v.鞭打,抽打,突然移动"
whisper,"n.耳语,私语,密谈,谣传,飒飒的声音;vi.耳语,密谈,飒飒地响;vt.低声说"
whistle,"n.口哨,汽笛,口哨声,汽笛声;v.吹口哨,鸣汽笛"
whoever,"pron.任何人,无论谁"
wholly,"adv.整个,统统,全部,专门地"
wicked,"adj.坏的,邪恶的,缺德的,不道德的,恶劣的,刻毒的,淘气的(wick[wik]n.蜡烛心,灯芯,油绳v.通过毛细作用带走)"
widen,"v.加宽,放宽,扩展"
widespread,"adj.分布广泛的,普遍的"
widow,n.寡妇;v.使成寡妇(或鳏夫)
width,"n.宽度,宽广,广博,有一定宽度的东西(如一快布料等)"
wisdom,"n.智慧,明智的行为,学识,名言,贤人,至理名言"
wit,"n.智力,才智,智慧"
withdraw,"vt.收回,撤消;vi.缩回,退出;v.撤退"
withstand,"vt.抵挡,经受住"
witness,"n.[律]证人,目击者,证据,证明,证词;vt.目击,为...作证,证明,表明;vi.作证,成为证据"
wolf,"n.狼,残忍贪婪之人,极度的穷困;vt.狼吞虎咽,大吃;vi.猎狼"
wool,"n.羊毛,毛织品,毛线,绒线,毛料衣物"
workman,"n.工人,工匠,男工"
workshop,"n.车间,工场"
world-wide,adj.全世界的
worm,"n.虫,蠕虫,蚯蚓,蜗杆,螺纹,小人物;vi.蠕行,慢慢前进;vt.使蠕行,慢慢地走,给(烟草作物)除虫"
worship,"n.崇拜,礼拜,尊敬;vi.敬神,拜神;vt.崇拜,尊敬"
worthless,"adj.无价值的,无益的"
worthwhile,"adj.值得做的,值得出力的"
worthy,"n.杰出人物,知名人士;adj.有价值的,应...的,可敬的,值得的,相称的"
wrap,"n.外套,围巾,包裹,秘密,约束,限制;vt.包装,卷,缠绕,包,覆盖,裹,遮蔽,隐藏;vi.缠绕,重叠,穿外衣,包起来"
wreck,"n.失事船(或飞机),残骸,(船,飞机的)失事;vt.破坏,拆毁"
wardrobe,"n.衣柜,衣厨,衣室,衣服,行头,剧装"
warfare,"n.战争,作战,冲突,竞争"
alike,"adj.相同的,相似的;adv.以同样的方式,类似于"
alliance,"n.联盟,联合"
allocate,"vt.分派,分配"
allow,"vt.允许,承认"
allowance,"n.津贴,补助,宽容,允许;vt.定量供应"
ally,"v.结盟,与...(在血统,性质等上)有关联,同盟;n.同盟国,支持者"
alongside,adv.在旁;prep.横靠
alphabet,n.字母表
alter,v.改变
alternative,"n.二中择一,可供选择的办法,事物;adj.选择性的,二中择一的"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
aluminium,n.[化]铝;adj.铝的
amateur,"n.业余爱好者,业余艺术家"
amaze,vt.使吃惊
ambassador,n.大使
ambition,"n.野心,雄心"
ambulance,"n.战时流动医院,救护车"
amid,prep.在...中
amongst,"prep.在...中间,在...之中"
amuse,"vt.使发笑,使愉快"
analyse,"vt.分析,分解;n.分析"
analysis,"n.分析,分解"
ancestor,"n.祖先,祖宗"
anchor,"n.锚;v.抛锚,锚定"
ancient,"adj.远古的,旧的"
angle,"n.[数]角,角落;vi.钓鱼,追逐"
ankle,n.[解]踝
anniversary,n.周年纪念
annoy,"vt.使苦恼,骚扰"
annual,"n.一年生植物,年刊,年鉴;adj.一年一次的,每年的,一年生的"
anticipate,"vt.预期,期望,过早使用,先人一着,占先;v.预订,预见,可以预料"
antique,"n.古物,古董;adj.古时的,过时的"
anxiety,"n.忧虑,焦急,渴望,热望"
anxious,"adj.观念的,担忧的,渴望的,盼望的"
anyhow,"adv.无论如何,总之"
anyway,"adv.无论如何,总之"
apart,"adv.分离,分成零件,分别地,分离着;adj.分开的"
apartment,"n.<美>公寓住宅,单元住宅,房间"
apologize,"vi.(apologise)道歉,辩白"
apology,"n.(为某种思想,宗教,哲学等)辩解,道歉"
apparent,"adj.显然的,外观上的"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
appearance,"n.出现,露面,外貌,外观;appearv.出现,看来,似乎,公开露面,出版,发表"
appetite,"n.食欲,胃口,欲望,爱好"
applause,"n.鼓掌欢迎,欢呼"
appliance,"n.用具,器具"
applicable,"adj.可适用的,可应用的"
applicant,"n.申请者,请求者"
application,"n.请求,申请,申请表,应用,运用,施用,敷用,应用程序,应用软件"
apply,"vt.申请,应用;vi.申请,适用"
appoint,"vt.约定,指定(时间,地点),任命,委任"
appointment,"n.约会,指定"
appreciate,"vt.赏识,鉴赏,感激;vi.增值,涨价"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路;vt.接近,动手处理;vi.靠近"
appropriate,adj.适当的
approval,"n.赞成,承认,正式批准"
approve,"vi.赞成,满意;vt.批准,通过;v.批准"
approximate,"adj.近似的,大约的;v.近似,接近,接近,约计"
arbitrary,"adj.任意的,武断的,独裁的,专断的"
architect,n.建筑师
architecture,"n.建筑,建筑学,体系机构"
argue,"vi.争论,辩论;vt.说服"
argument,"n.争论,辩论,论据,论点,～(for,against),意见"
arise,"vi.出现,发生,起因于"
arithmetic,"n.算术,算法"
arouse,"vt.唤醒,唤起,鼓励,引起;vi.睡醒"
arrange,"v.安排,排列,协商"
arrangement,"n.排列,安排"
arrest,"vt.逮捕,拘留,吸引;n.逮捕,拘留"
arrival,"n.到来,到达,到达者"
arrow,"n.箭,箭头记号"
artificial,"adj.人造的,假的,非原产地的"
artistic,"adj.艺术的,有美感的,风雅的"
ash,"n.灰,灰烬,[植]岑树"
ashamed,"adj.惭愧的,羞耻的"
aside,"adv.在旁边,到旁边"
aspect,"n.样子,外表,面貌,(问题等的)方面"
assemble,"vt.集合,聚集,装配;vi.集合"
assembly,"n.集合,装配,集会,集结,汇编"
assess,"vt.估定,评定"
asset,"n.资产,有用的东西"
capture,"n.捕获,战利品;vt.俘获,捕获,夺取"
carbon,"n.[化]碳(元素符号C),(一张)复写纸"
career,"n.(原意：道路,轨道)事业,生涯,速度"
cargo,"n.船货,(车、船、飞机等运输的)货物"
carpenter,n.木匠
carpet,n.地毯
carriage,"n.马车,客车,运费,姿态,（机械）车架"
carrier,"n.运送者,邮递员,带菌者,(自行车等)行李架,搬运器,航空母舰;n.[电]载波（信号）"
carrot,n.胡萝卜
cart,"n.大车,手推车;vt.用车装载"
cartoon,"n.(报刊上的)政治性漫画,讽刺画,卡通画,漫画(常有解说词);v.画漫画;n.卡通片,动画片"
cash,n.现金;vt.兑现
cashier,"n.(商店等的)出纳员,(银行或公司的)司库"
cassette,"n.盒子,盒式磁带"
cast,"n.投掷,铸件,脱落物,一瞥,演员表;v.投,抛,投射,浇铸,计算,派(角色)"
casual,"adj.偶然的,不经意的,临时的"
catalog,"n.目录,目录册;v.编目录"
catalogue,n.目录
category,"n.种类,别,[逻]范畴"
cattle,"n.牛,家养牲畜"
cautious,"adj.谨慎的,小心的"
cease,"v.停止,终了"
cement,"n.水泥,接合剂;vt.接合,用水泥涂,巩固;vi.粘牢"
center,"n.中心,中央,中心点,中锋;adj.中央的,位于正中的;vt.集中,使聚集在一点,定中心,居中;vi.居中,有中心,被置于中心"
centigrade,"adj.分为百度的,百分度的,摄氏温度的"
centimetre,"n.厘米,公分"
ceremony,"n.典礼,仪式,礼节,报幕员"
certificate,"n.证书,证明书;vt.发给证明书,以证书形式授权给…"
challenge,n.挑战;vt.向...挑战
chamber,"n.室,房间,议院,会所,(枪)膛"
champion,"n.冠军,拥护者,战士;vt.拥护,支持"
channel,"n.海峡,水道,沟,路线;vt.引导,开导,形成河道,信道,频道"
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
chap,"n.<俗>伙伴,家伙,小伙子,颚,颊;v.(使)皲裂"
chapter,n.(书籍中)章节
character,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物;vt.写,刻,印,使具有特征"
characteristic,"adj.特有的,表示特性的,典型的;n.特性,特征"
characterize,"vt.表现...的特色,刻画的...性格"
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料;v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
charity,"n.慈善,施舍,慈善团体"
charm,"n.吸引力,(女人的)魔力,魅力,符咒;vt.迷人,使陶醉,行魔法;vi.用符咒,有魔力"
chart,"n.海图,图表;vt.制图"
charter,"vt.租,包(船、车等);n.宪章"
chase,"n.追赶,追击;vt.追赶,追逐,雕镂"
cheat,"n.欺骗,骗子;v.欺骗,骗取"
cheerful,"adj.愉快的,高兴的"
chemical,"adj.化学的;n.化学制品,化学药品;n.化学药品"
chemist,"n.化学家,药剂师"
chest,"n.胸腔,胸膛,箱,柜"
chew,"vt.咀爵(食物等);v.咀嚼,认真考虑"
chief,"n.首领,领袖,酋长,长官,主要部分,最有价值的部分;adj.主要的,首要的,首席的,主任的"
childhood,n.孩童时期
chill,"n.寒意,寒战,寒心;adj.寒冷的,扫兴的;v.使冷,变冷,冷藏"
chin,"n.下巴,颚"
chip,"n.碎片,筹码,芯片;v.削成碎片,碎裂"
choke,"v.窒息,哽住,使呼吸困难,阻塞;n.窒息,阻气门"
chop,"n.砍,排骨,官印,商标;vt.剁碎,砍,(风浪)突变"
Christ,n.[基督教]救世主(特指耶稣基督)
Christian,"n.基督徒,信徒;adj.基督教的,信基督教的"
cigar,n.雪茄
