whitish,adj. 发白的
incident,n. 发生的事
diviner,n. 占卜者
calcium,n. 钙
shield,n. 盾牌
apparatus,n. 设备，器官
voluntarily,adv. 自愿
mob,n. 暴民
mandate,v. 授权给
utter,v. 出声；adj. 彻底的
wildlife,n. 野生动植物
weird,adj. 离奇的
financial,adj. 金融的
wild,adj. 野生的；n. 野生环境
tightly,adv. 紧紧地
harp,n. 竖琴
storytelling,n. 讲故事
appropriately,adv. 合适地
flowerbed,n. 花坛
disadvantage,n. 不利条件；v. 使处于不利地位
noxious,adj. 有毒的
contradiction,n. 矛盾
sponsor,v. 资助
inaccessible,adj. 难以到达的
unappealing,adj .不吸引人的
unpopular,adj. 不受欢迎的
mechanical,adj. 机械的
configuration,n. 结构
elevator,n. 电梯
subtitle,n. 副标题
soybean,n. 大豆
coverage,n. 覆盖，新闻报道
edition,n. 版本
topple,v. 倒下
sincerity,n. 真诚
titanium,n. 钛
salty,adj. 含盐的
dedicate,v. 奉献
disruptive,adj. 引起扰乱的
arcade,n. 拱廊
postpone,v. 延期
whereby,adv. 凭此
blurry,adj. 模糊不清的
unsuccessful,adj. 不成功的
insight,n. 洞悉
reluctance,n. 不情愿
distract,v. 使…分心
inlet,n. 注入口
oppose,v. 反对
refer,v. 提及，参考
catalog,n. 目录；v. 将...编入目录
terrace,n. 梯田；v. 把…筑成梯田
pure,adj. 纯的
nip,v. 轻咬
academically,adv. 学业上
surroundings,n. 环境
uncritically,adv. 不加批判地，不加鉴别地
positively,adv. 带正电地，积极地，的的确确
designer,n. 设计师
exhaustive,adj. 全面的
complicate,adj. 复杂的
innovative,adj. 革新的
simultaneously,adv. 同时地
merchant,n. 商人；adj. 贸易的
dinosaur,n. 恐龙
internal,adj. 内部的
specially,adv. 专门的
mass,adj. 大量的；n. 团，大量，质量
fathom,n. 英寻 [水深量度单位]
crow,v. 啼叫；n. 乌鸦
hiccup,v. 打嗝
shale,n. 页岩
abolish,v. 废除
simulate,v. 模拟
perception,n. 感觉，看法
snowstorm,n. 雪暴
despite,prep. 尽管
preferential,adj. 优惠的
ritualized,adj. 仪式化的
knit,v. 使紧密结合
joyful,adj. 快乐的
proposal,n. 提议
predominant,adj. 占优的，主要的
coherent,adj. 连贯一致的
classification,n. 分类
indicate,v. 暗示，表明
heap,n. 堆
invariably,adv. 一贯地
anecdotal,adj. 轶事的
intermittent,adj. 间歇的
hammer,n. 锤子；v. 捶打
definition,n. 释义
intimate,adj. 亲密的，详尽的
dialect,n. 方言
precipitate,v. 沉淀
blame,v. 责备
trumpet,v. 吼叫；n. 喇叭
manufacture,v. 大量生产；n. 大量生产
faith,n. 信仰，信任
adverse,adj. 不利的
binding,n. 捆绑；adj. 黏合的
worldwide,adv. 在全世界 ；adj. 世界范围的
sufficient,adj. 充足的
humanity,n. 人类，人性
catalyst,n. 催化剂
critically,adv. 批判性地；adv. 极其
historic,adj. 历史的
rootless,adj. 无根的
calculation,n. 计算
gathering,n. 采集，聚会
vibrant,adj. 鲜艳的
ejecta,n. 喷出物
violinist,n. 小提琴家
infraction,n. 违法
correlation,n. 相关
disastrous,adj. 灾难性的
barn,n. 谷仓
gradual,adj. 逐渐的
advisory,n. 报告
supporter,n. 支持者
weightlessness,n. 失重
calcite,n. 方解石
detrimental,adj. 有害的
presently,adv. 现在
foreground,n. 前景
scrip,n. 纸条，纸片
according,prep. 根据，按照，取决于
backup,n. 备用物品
stellar,adj. 星球的
innovator,n. 革新者
fluent,adj. 流利的
participatory,adj. 供人分享的
output,n. 输出，产量
microbe,n. 微生物
idealization,n. 理想化
diseased,adj. 患病的
contradictory,adj. 矛盾的
formal,adj. 正式的，整齐的
coil,n. 线圈；v. 盘起
escalate,v. 使…升级
paleontologist,n. 古生物学者
request,n. 要求
supernatural,adj. 超自然的
rainwater,n. 雨水
ethnology,n. 人种学
unconventional,adj. 非传统的
rational,adj. 理性的
definite,adj. 明确的
abundant,adj. 大量的
lurk,v. 潜伏
carnivory,n. 食肉性
bump,v. 撞
withdrawal,n. 撤回
fiber,n. 纤维
puzzling,adj. 令人困惑的
supernova,n. 超新星
rumble,n. 隆隆声
cabaret,n. 卡巴莱歌舞表演
conceivably,adv. 可以想象地
magnify,v. 放大
congregate,v. 聚集
instrument,n. 乐器，促成某事的手段
threat,n. 威胁
restate,v. 重述
reimburse,v. 偿还，赔偿
amplify,v. 放大器
rehearse,v. 排演，预演
ore,n. 矿石
obsession,n. 着迷
jewelry,n. 珠宝
affect,v. 影响，损害
combustible,adj. 可燃的
editorial,n. 社论
tribespeople,n. 部落人
continent,n. 大陆
furniture,n. 家具
flooding,n. 洪涝
urbanization,n. 城市化
frequency,n. 频率
larynx,n. 喉
appealing,adj. 有吸引力的
withstand,v. 经受住
spruce,n. 云杉
confound,v. 使困惑
thoughtfully,adv. 体贴地
accompaniment,n. 伴奏
disregard,v. 不理会
ponder,v. 仔细考虑
counter,v. 反驳；n. 柜台；adv. 逆反地
boiling,adj. 沸腾的
paycheck,n. 支票
Caribbean,n. 加勒比地区
shelve,v. 搁置
trawler,n. 拖网渔船
tentatively,adv. 暂时地
capillary,adj. 毛细的
respectful,adj. 恭敬的
liquefy,v. 液化
pad,n. 便笺簿
Asia,n. 亚洲
admittedly,adv. 诚然
wrap,v. 包
analytical,adj. 分析的
recruit,v. 征募
believably,adv. 可信地
atom,n. 原子
carnivore,n. 食肉动物
lengthen,v. 加长
profound,adj. 深刻的，巨大的
pervasive,adj. 普遍的
traditionally,adv. 传统上
upsurge,n. 急剧上升
blossom,n. 开花
shallow,adj. 浅的，微弱的
flow,v. 流动；n. 流动
execution,n. 实行
shadow,n. 阴影
ballet,n. 芭蕾舞，芭蕾舞剧
cabin,n. 小木屋
buddhism,n. 佛教
yell,v. 大喊
extrapolation,n. 推断
migrant,n. 移民
set/put forth,.提出
army,n. 军队
divider,n. 隔板
attachment,n. 依恋，附加装置
lace,v. 为…调味
fertilize,v. 使…受精，给…施肥
revise,v. 修改
dissolution,n. 分解
obstacle,n. 障碍
perch,n. 栖木
pest,n. 害虫
Arabic,adj. 阿拉伯语的；n. 阿拉伯语
regional,adj. 地区的
underscore,v. 划线于…下，强调
aim,v. 目标
nomad,n. 游牧者
supreme,adj. 最高的
potter,n .陶艺家
upright,n. 立柱；adj .正直的
awesome,adj. 极好的
kingdom,n. 王国，领域
imaginative,adj. 富有想象力的
forth,adv. 以后，向外
backtrack,v. 原路返回
sequence,n. 顺序，一系列
overhang,n. 伸出物
thither,adj. 那边的
subsidize,v. 补贴
arrange,v. 整理，安排
cascade,v. 倾泻
concrete,n. 混凝土；adj. 具体的
bold,adj. 大胆的
usability,n. 可用性
industrialization,n. 工业化
ferocious,adj. 凶猛的
refund,n. 退款，偿还
imperial,adj. 帝国的，皇帝的
deterioration,n. 恶化
compact,adj. 坚实的
compatible,adj. 匹配的
imply,v. 暗示，意味着
predecessor,n .前任
underside,n. 底侧
elimination,n. 消除
emergence,n. 出现，形成
residential,adj. 住宅的
marmot,n. 旱獭
weedy,adj. 杂草丛生的
reinvest,v. 把…再投资
bitterness,n. 苦味
premiere,n. 首次公演
communal,adj. 公共的
destroy,v. 破坏，毁灭
medium,n. 媒介，形式；adj. 中等的
symbolic,adj. 象征性的
lawn,n. 草坪
initial,adj. 最初的
Mercury,n. 水星，汞
brood,v. 孵蛋
inferno,n. 熊熊烈火
banding,n. 分类
monetary,adj. 货币的
unfamiliar,adj. 不熟悉的
incidence,n. 发生
aura,n. 氛围
sympathetic,adj. 同情的
symphony,n. 交响乐
finding,n. [有价值的] 发现
contribute,v. 是导致…的原因之一，捐献
landowner,n. 土地所有人
federal,adj. 联邦政府的
navigational,adj. 导航的
laryngeal,adj. 喉的
respectively,adv. 各自
mint,v. 铸造
technique,n. 技术
extraterrestrial,adj. 外星的
aggression,n. 侵犯
forcibly,adv. 强行地
resin,n. 树脂，松香
thermoregulatory,adj. 体温调节的
impending,adj. 即将到来的
identity,n. 身份，特点
uncommon,adj. 不常有的
officially,adv. 正式地
ambitiously,adv. 雄心勃勃地
belt,n. 带，星带
taproot,n. 主根
frightening,adj. 吓人的
simplify,v. 简化
radio-wave,n. 无线电波
lower,adj. 较低的；v. 降低
intact,adj. 完好无损的
thematic,adj. 主题的
necessity,n. 必要，必需品
semester,n. 学期，半年
reintroduce,v. 再引入，在介绍
glance,n. 一瞥；v. 一瞥
inflow,v. 流入
crew,n. 全体工作人员
residence,n. 住所，居住
societal,adj. 社会的
uncomfortable,adj. 不舒服的
saw,n. 锯；v. 锯
artisan,n. 工匠
illustrate,v. 举例说明，给…加插图
uniquely,adv. 独特地
nuclear,adj. 核能的，原子核的
edifice,n. 复杂体系
flutter,v. 振翅而飞
argument,n. 观点，争论
waterless,adj. 无水的
depletion,n. 耗尽
extraordinary,adj. 特别的
recapture,v. 再捕获，重获
ammonia,n. 氨
predynastic,adj. 王朝统治以前的（在公元前3200年古埃及时期）
emulsion,n. 感光乳剂
responsible,adj. 负有责任的
recast,v. 改造
invitation,n. 邀请
artistic,adj. 艺术的
harmful,adj. 有害的
mutualistic,adj. 互利共生的
injury,n. 受伤
agreement,n. 意见一致，协议
subordinate,adj. 级别低的
sustained,adj. 持续的
trial,n. 试验
cluster,n. 群，星云；v. 聚集
magnitude,n. 大小
bishop,n. 主教
exemplify,v. 举例说明
consequent,adj. 作为结果的
unspecified,adj .未特别指出的
dimly,adv. 暗淡地
regime,n. 政权
reptilian,adj. 爬行动物的
realistically,adv. 现实地
volunteerism,n. 志愿精神，志愿服务
fundraiser,n. 募捐活动
differentiation,n. 区分
immensity,n. 大量
multiply,adj. 多样的；v. 乘，繁殖
supposition,n. 推测
exaggeration,n. 夸大
debt,n. 欠款
improbable,adj. 不大可能发生的
superintendent,n. 负责人
precision,n. 精确
project,v. 放映，预测，伸出；n. 项目
cerebral,adj. 大脑的
brim,n. 边缘
receipt,n. 收据
renown,n. 声望；v. 使有声望
ray,n. 射线
reinterpret,v. 重新解释
rarefy,v. 使…变稀薄
crown,n. 冠状物，皇冠
foul,v. 污染；adj. 令人不快的
militaristic,adj. 军国主义的
barrier,n. 障碍
preserve,v. 保存，保护
scary,adj. 可怕的
predetermine,v. 预先决定
apartment,n. 公寓套间
court,n. 宫廷，法庭，球场；v. 向…求偶
acid,n. 酸；adj. 酸性的
vapor,n. 蒸汽
imitative,adj. 善于模仿的
verbal,adj. 口头的
arable,adj. 可耕的
informant,n. 提供消息的人
ascertain,v. 查明
disappointed,adj. 失望的
farmland,n. 农田
multiplier,n. 乘数
turnpike,n. 收费公路
paste,v. 粘贴；n. 膏状物
width,n. 宽度
lighting,n. 照明
eyeglass,n. 眼镜
squander,v. 浪费
dislocated,adj. 脱臼的
tropical,adj. 热带的；adj .热情的
contamination,n. 污染
elegantly,adv. 优雅地
inbreeding,n. 近亲繁殖
due,adj. 因为，到期的；n. 应缴款（常用复数dues）
subside,v. 减弱
playful,adj. 活泼有趣的
author,n. 作者
analyze,v. 分析
recombine,v. 重组
instability,n. 不稳定
customarily,adv. 习惯上
center,n. 中心；v. (使)集中于…
neutralize,v. 抵消
impulse,n. 动力，冲动
roughness,n. 高低不平，粗糙
being,n. 生物，身心，存在
capacity,n. 容纳的能力，产能，能力
preschooler,n. 学龄前儿童
insightful,adj. 有深刻见解的
alter,v. 改变
investigator,n. 调查者
glamorous,adj. 富有魅力的
manner,n. 方式
radioactive,adj. 放射性的
survey,n. 调查，测绘；v. 对…进行调查，测绘
suspend,v. 使悬浮，暂停
switch,v. 改变
bakery,n. 面包店
coach,v. 训练
intonation,n. 语调
injure,v. 使受伤
defective,adj. 有缺陷的
standardized,adj. 标准化的
generalize,v. 概括
elegant,adj. 优雅的
unwittingly,adv. 无意地
cavity,n. 腔
poetry,n. 诗歌
opportune,adj. 适宜的
inspiring,adj. 鼓舞人心的，启发灵感的
symmetrically,adv. 对称地
progressively,adv. 逐渐地
reshape,v. 重塑
infestation,n. 感染
react,v. 起反应
stagnation,n. 停滞
significantly,adv. 显著地
density,n. 密度
epic,n. 史诗；adj. 史诗般的
abdominal,adj. 腹部的
amusement,n. 欢乐
warn,v. 警告
breath,n. 气息
coarse,adj. 粗糙的
organization,n. 结构，机构
pine,n. 松树
marginally,adv. 些微地
waiter,n. 服务员
diffusely,adv. 传播地
adjoining,adj. 毗邻的
canvas,n. 油画布，帆布
attain,v. 实现
behaviorist,n. 行为主义者
conducive,adj. 有助于
stability,n. 稳定
virtue,n. 美德
consultant,n. 顾问
repercussion,n. 间接后果
lifespan,n. 寿命
marvelously,adv. 极好地
outnumber,v. 在数量上超过
olfactory,adj. 嗅觉的
dislodge,v. 逐出
synthesis,n. 合成
marked,adj. 明显的
artistically,adv. 艺术上
storyteller,n. 讲故事的人
extrapolate,v. 推断
convey,v. 传达
hugely,adv. 极其
seawater,n. 海水
enthusiastically,adv. 热情地
administration,n. 管理，行政工作，政府部门
graze,v. 放牧
tone,n. 音调
pan,n. 平底锅
overwhelm,v. 使难以承受，淹没
approximate,adj. 大约的；v. 接近
thatch,v. 用茅草盖
incubate,v. 孵化，培养
cast,v. 把…加于，投射，描述；n. 全体演员，模件，铸造，排泄物
gigantic,adj. 巨大的
predictor,n. 预示物
marketer,n. 经销商
obligation,n. 义务，责任
selfishness,n. 自私
mirage,n. 海市蜃楼
nanotube,n. 纳米管
showcase,n. 展示场合；v. 展现
oval,n. 椭圆形；adj. 椭圆的
chaotic,adj. 混沌的
exceed,v. 超出
highly,adv. 非常
rotate,v. 旋转
convict,v. 判决…有罪
barter,n. 以物易物
overtake,v. 超过
recital,adj. 朗诵，独奏会
microfilm,n. 缩微胶卷
illiterate,adj. 文盲的
herbivory,n. 食草性
culmination,n. 顶峰
ripening,n. 成熟
dimension,n. 方面，尺寸
cheetah,n. 猎豹
coincidence,n. 巧合
heterogeneous,adj. 异种的，各种各样的
lately,adv. 近来
elevate,v. 抬起
wetland,n. 湿地
acorn,n. 橡果
offset,v. 抵消
disorientation,n. 迷失方向
desolate,adj. 荒芜的
vicinity,n. 邻近地区
mature,adj. 成熟的；v. 成熟
impersonate,v. 模仿
via,prep. 通过
rival,v. 与…不相上下；n. 竞争对手；adj. 相互竞争的
companionship,n. 友谊
phonetic,adj. 语音的
morale,n. 士气
residue,n. 残留物
gaslit,adj. 用煤气灯照明的
thorough,adj. 彻底的
logistics,n. 物流
exhibition,n. 展览
investment,n. 投入，投资
desperately,adv. 绝望地，极其
subpopulation,n. 构成总人口的子人口
wasteful,adj. 挥霍的
deadly,adj. 致命的
privatization,n .私有化
obliterate,v. 清除
slope,n. 坡；v. 倾斜
item,n. 一件物品，项目
turnip,n. 芜菁
projection,n. 放映，预测
fossilize,v. 使成化石
bookworm,n. 书虫
respective,adj. 各自的
husk,n. 外壳，外皮
seize,v. 夺取，抓住
forger,n. 伪造者
randomness,n. 随机性
intruder,n. 侵入者
undertow,n. 水下逆流
improvisational,adj. 即兴的
broaden,v. 扩大
copier,n. 复印机
undergo,v. 经受
verify,v. 证实
reelect,v. 改选，重选
financier,n. 金融家
host,n. 寄主，许多，主人；v. 主持
illusion,n. 幻想，假象
effect,n. 效果
thermoregulation,n. 体温调节
distinguish,v. 区分
crane,n. 起重机
approve,v. 赞成
chuck,n. 咕咕叫
mound,n. 堆，小丘
ware,n. 陶器；adj .知道的
bundle,n. 捆
penetrate,v. 穿透，渗入，被理解
dealings,n. 交往
elective,n. 选修课程
mode,n. 模式，方式
suspicious,adj. 可疑的
affair,n. 事情
restoration,n. 修复
attend,v. 参加，伴随
corresponding,adj. 相似的，相关的
surf,v. 冲浪
fruitful,adj. 富有成效的
scrape,n. 擦痕
constantly,adv. 不断地，始终地
subtlety,n. 精巧
satire,n. 讽刺，讽刺作品
delve,v. 探索
critical,adj. 关键的，严重的
pollute,v. 污染
conveyance,n. 交通工具
feast,v. 山吃海喝
publicity,n. 宣传，公示
vagaries,n. 变幻莫测
commit,v. 承诺
supportive,adj. 给予帮助的
caravan,n. 沙漠旅行队
proportional,adj. 成比例的
illuminate,v. 照亮，启发
grant,v. 准许，承认；n. 拨款
remote,adj. 遥远的
attire,n. 服装
arch,n. [建筑]拱
decaying,adj. 正在腐烂的
aboard,prep. 在…上
roommate,n. 室友
proficient,adj. 熟练的
intolerable,adj. 无法忍受的
magnetize,v. 使磁化
architect,n. 建筑设计师
rewarding,adj. 有回报的
Mediterranean,n. 地中海；adj. 地中海的
harshly,adv. 严厉地
rekindle,v. 重新激起
unborn,adj. 未出生的
refinery,n. 精炼厂
volcano,n. 火山
customize,v. 定做
weaving,n. 织布
justice,n. 正义，司法
accumulation,n. 积累 ，聚积物
outline,n. 轮廓；v. 画…的轮廓
outskirts,n. 市郊
instigate,v. 发起
blend,v. 混合，协调；n. 混合
astoundingly,adv. 令人惊奇地
nocturnal,adj. 夜间的
probability,n. 可能性
pattern,n. 模式，图样；v. 装饰
fry,v. 油煎
vivid,adj. 生动的
continuation,n. 继续
stance,n. 态度
prophecy,n. 预言
surge,n. 激增，涌动；v. 涌动
temporarily,adv. 暂时地
mimicry,n. 模仿
journalist,n. 新闻记者
hinder,v. 妨碍
instance,n. 例子，情况
desert,n. 沙漠；v. 抛弃，擅离
multipurpose,adj. 多功能的
penchant,n. 爱好，倾向
wingless,adj. 无翅的
haven,n. 避难所
neat,adj. 整齐的；n. 整洁
notoriety,n. 恶名
civil,adj. 民用的 ，公民的
starve,v. 挨饿
survivor,n. 幸存者
antiquity,n. 古老，古代
exist,v. 存在，存活
governance,n. 统治
impression,n. 印象
textile,n. 纺织品
handful,adj. 少量
cetacean,n. 鲸目动物
dangle,v. 悬荡
titan,n. 巨人
fleshy,adj. 肉质的
harm,v. 损害；n. 损害
continental,adj. 大陆的
rust,n. 锈，生锈
ripple,v. 起涟漪
enlist,v. 谋求
rectangle,adj. 矩形，长方形
conceivable,adj. 可想到的
overlying,adj. 上覆盖的
defense,n. 保卫，防御物
microscopic,adj. 微小的
nontraditional,adj. 非传统的
eradication,n. 根除
vulnerable,adj. 易受伤害的
indefinitely,adv. 无限期地
marvel,v. 感到惊讶
rightful,adj. 合法的
soccer,n. [口]英式足球
enough,adj. 足够的；adv. 足够地，pron. 足够
predominate,v. 支配，占大多数
composition,n. 构成
dual,adj. 双重的
voyager,n. 航海者
taxpayer,n. 纳税人
outstanding,adj. 杰出的
dean,n. 院长
spending,n. 开销
hazardous,adj. 危险的
basal,adj. 底部的，基层的
intermingle,v. 混合
piecework,n. 计件工作
illustration,n. 插图，例证
insure,v. 给…保险
reverberate,v. 回响
usable,adj. 可用的
terminal,adj. 终点的
uneven,adj. 不均衡的
synchronization,n. 同时发生
implication,n. 含义，暗示
topsoil,n. 表土
proponent,n. 倡导者
turbulent,adj. 汹涌的
drastic,adj. 剧烈的
sunlight,n. 阳光
overshoot,v. 超出
clergy,n. 神职人员
unrelated,adj. 无亲缘关系的，不相关的
blindly,adv. 不假思索地
debug,v. 排除...的错误
pathway,n. 路径
personally,adv. 亲自地，个别地
residual,adj. 剩余的
pole,n. 地极，柱
unearth,v. 发掘
classic,adj. 经典的；n. 经典作品
manuscript,n. 手稿
warmth,n. 温暖
thrill,n. 兴奋
prepared,adj. 乐意的，有准备的
brief,adj. 简洁的，短暂的
citizenship,n. 公民身份
seller,n. 售卖者
tribal,adj. 部落的
foundational,adj. 基础的
major,adj. 主要的；n. 主修课目
larva,n. 幼虫
warming,n. 变暖；adj. 暖和的
extracurricular,adj. 课外的
exclusive,adj. 独有的，排斥的
resilient,adj. 适应能力强的，有弹力的
disturbance,n. 打扰，骚乱
span,v. 跨越；n. 持续时间段
distill,v. 提炼
supersede,v. 取代
unaffected,adj. 未改变的
qualitatively,adv. 在质的方面
perceive,v. 把…看作，察觉
deviate,v. 偏离
effective,adj. 有效的
insecticide,n. 杀虫剂
opposition,n. 反对
contributory,adj. 促成的
denial,n. 否认
decomposition,n. 分解，腐烂
loner,n. 独来独往的人
pollen,n. 花粉
guild,n. 同业公会
precipitously,adv. 陡峭地
unprotected,adj. 未受保护的
craze,n. 狂热
conversely,adv. 相反地
stillness,n. 静
largely,adv. 主要地
transitional,adj. 过渡的
garage,n. 车库
maverick,adj. 不合常规的
collaboration,n. 合作
tonality,n. 色调
Germany,n. 德国
central,adj. 中央的，最重要的
excavate,v. 挖掘
nutritive,adj. 营养的
organize,v. 组织
discreteness,n. 离散
slate,n. 石板
documentarist,n. 纪录片工作者
wavy,adj. 波状的
grassy,adj. 长满草的
retrieval,n. 取回
buffet,n. 自助餐
delicate,adj. 易损的，精美的
tangible,adj. 有形的
plausible,adj. 貌似合理的
non-venomous,adj. 无毒的
inspiration,n. 灵感，启发灵感的事物
incompatibility,n. 不协调
satisfactory,adj. 令人满意的
writer,n. 作家
inventive,adj. 有创意的
axis,n. 轴
fashionable,adj. 流行的
stage,n. 舞台，阶段；v. 组织
registrar,n. 登记员，注册主管
proto,n. 原型
landing,n. 楼梯平台，登陆
justify,v. 是…的正当理由
tilt,v. 使倾斜
cluck,v. 咯咯叫
restriction,n. 限制
liquid,adj. 液态的；n. 液体
elliptical,adj. 椭圆的
adaptable,adj. 可适应的
circumstantially,adv. 依照情况地
unoccupied,adj. 未被占用的
denude,v. 使…光秃
tedious,adj. 冗长乏味的
observation,n. 观察
trap,v. 困住 ；n. 陷阱
grassland,n. 草原，草场
tundra,n. 冻原
ubiquitous,adj. 普遍存在的
equally,adv. 同样地，平均地
potable,adj. 适于饮用的
harmless,adj. 无害的
inactive,adj. 不活跃的
knock,v. 碰撞
impressed,adj. 印象深刻的
ripe,adj. 成熟的
arise,v. 产生
abstract,adj. 抽象的；n. 概要
pendant,n. 垂饰
transplantation,n. 移植
cutthroat competition,n. 恶性竞争
established,adj. 已被认可的，知名的
vernacular,n. 方言
comeback,n. 复出
algebra,n. 代数
genetic,adj. 基因的
meaningfully,adv. 意味深长地
balanced,adj. 平衡的
aggregated,adj. 聚合的
manganese,n. 锰
resolution,n. 解决方案，决心
establish,v. 建立，证实，使…被接受
publicize,v. 宣传，公布
favorable,adj. 合适的，有利的
genre,n. 体裁
update,v. 更新；n. 更新
independent,adj. 独立的
complexity,n. 复杂
stationary,adj. 固定的
admire,v. 赞赏
permanence,n. 永久性
excruciating,adj. 极痛苦的
essay,n. 文章，论文
currency,n. 货币
nasal,adj. 鼻的
villa,n. 别墅
vacuum,adj. 真空的；n. 真空
breast,n. 胸部
surround,v. 环绕
flute,n. 长笛
succession,n. 连续
copper,n. 铜
refreeze,v. 再冻结
secure,v. 使…稳固，获得；adj. 稳定的
ensemble,n. 乐团
explorer,n. 探险者
buoy,n. 浮标
issue,n. 问题，发行物；v. 发布，(液体/声音/气味)冒出
migration,n. 迁徙，移居
convergence,n. 交汇
gist,n. 主旨
persistent,adj. 持续存在的，坚持不懈的
backward,adv. 向后的
fool,v. 欺骗
meantime,n. 同时
abiotic,adj. 非生物的
allegedly,adv. 据宣称
mechanization,v. 机械化
apparently,adv. 明显地
angularity,n. 有角
portray,v. 描绘，表现
protectionist,adj. 贸易保护主义的
rim,n. 边沿
mechanism,n. 机制
hygienic,adj. 卫生的
criterion,n. 标准（复数：criteria）
flammable,adj. 易燃的
charge,v. 充电，收取，使充满；n. 主管
enormous,adj. 庞大的
inner,adj. 里面的，内心的
drench,v. 使湿透
limit,v. 限制；n. 界限
dissuade,v. 劝阻
unprocessed,adj. 未被加工的
symmetry,n. 对称
misunderstand,v. 误解
deleterious,adj. 有害的
rider,n. 骑手
dense,adj. 浓密的，茂密的
pessimistic,adj. 悲观的，悲剧的
directly,adv. 直接地
oarsman,n. 桨手
photographic,adj. 摄影的
severe,adj. 严重的，严酷的
vertebrate,n. 脊椎动物；adj. 有脊椎的
redirect,v. 重定向，改变
cellar,n. 地窖
grey,n. 灰色
directional,adj. 指向的
fanciful,adj. 异想天开的
ameliorate,v. 改善
curator,n. (博物馆等收藏机构的)馆长
import,n. 进口货物；v. 进口
herb,n. 草本植物
unreliable,adj. 不可靠的
unheard,adj. 未听到的
bleak,adj. 阴冷的，荒凉的
inward,adv. 向内的
relic,n. 遗迹
mutter,v. 嘟哝
laptop,n. 手提电脑
nation,n. 国家，民族
tangle,v. 把…缠结在一起
requisition,n. 征用
electrode,n. 电极
graphic,adj. 图形的
odd,adj. 不成对的；adj. 奇怪的
invention,n. 发明
fen,n. 沼泽
dispersal,n. 分散，传播
developmentally,adv. 发育地
hibernation,n. 冬眠
academia,n. 学术界
perpetually,adv. 永久地
literate,adj. 有读写能力的
eligible,adj. 合意的，有资格的
hieroglyphic,adj. 用象形文字写成的
malaise,adj. 莫名的不安
playback,n. 播放
videotape,n. 录像带
split,v. 分裂；n. 分开
estuary,n. 河口
verbally,adv. 口头上
deck,n. 甲板
footstep,n. 脚步
picturesquely,adv. 如画地
preschool,adj. 学龄前的；n. 幼儿园
minimize,v. 将减少到最低限度
modest,adj. 适度的，简朴的
typhoon,n. 台风
olive,n. 橄榄
million,n. 百万
intangible,adj. 难以理解的
mystical,adj. 神秘的
gray,adj. 灰色的
acquisition,n. 获得
image,n. 图像，形象，印象
van,n. 货车
constitution,n. 宪法
luxurious,adj. 奢侈的
brick,n. 砖
prefix,n .前缀
assisted,adj. 帮助的，辅助的
loop,n. 环形
immersion,v. 浸没
gripe,n. 抱怨
shore,n. 海滨，河滨
floral,adj. 花的，植物(群)的
sperm,n. 精子
reaper,n. 收割机
acceptable,adj. 可接受的
microwave,n. 微波
affluent,adj. 富裕的
worshiper,n. 参拜者
indicator,n. 指示物
dispersion,n. 分散
ivory,n. 象牙
neuron,n. 神经元
barley,n. 大麦
departmental,adj. 部门的
offender,n. 冒犯者，犯规者
sewer,n. 下水道
behaviorism,n. 行为主义
viscera,n. 内脏
administrative,adj. 行政的
redundancy,n. 多余
automatic,adj. 自动的
abundance,n. 大量
systematically,adv. 有条理地
crag,n. 悬崖
satisfaction,n. 满意
meter,n. 米，韵律
noticeably,adv. 明显地
trace,v. 追溯，描摹；n. 痕迹，微量
faithfully,adv. 如实地
pore,n. 孔
observer,n. 观察者
official,adj. 官方的；n. 官员
originate,v. 起源
dramatically,adv. 戏剧性地，突发惊人地
fertilization,n. 受精，施肥
continuously,adv. 连续地
promising,adj. 前景看好的
subfreezing,adj. 低于冰点的
reduction,n. 减少
online,n. 在线
corrosion,n. 腐蚀
insistence,n. 坚决要求
inclination,n. 意愿
focus,v. 使…聚焦；n. 关注的中心，重点
bioluminescent,adj. 生物发光的
fellowship,n. 友情
coexist,v. 共存
forbid,v. 禁止
moose,n. 驼鹿
stunning,adj. 令人震惊的
massif,n. 山峦
psychic,adj. 心灵的
repetition,n. 重复
shrine,n. 圣地
tadpole,n. 蝌蚪
mineralization,n. 矿化
carving,n. 雕刻品
exceedingly,adv. 非常
candid,adj. 率直的
collectively,adv. 集体地
gelatinous,adj. 凝胶状的
receptor,n. 受体，接受器
crystalline,adj. 晶体的
reef,n. 礁
intellectual,adj. 智力的；n. 知识分子
stitch,v. 缝
magnetization,n. 磁化
faithful,adj. 忠实于原著的
amass,v. 积聚
acidic,adj. 酸性的
freshwater,adj. 淡水的；n. 淡水
necessarily,adv. 必定
potentially,adv. 潜在地，有可能地
actual,adj. 真实的，实际的
endemic,adj. 地方性的
watershed,n. 分水岭
electromagnet,n. 电磁铁
troop,n. 部队
petroleum,n. 石油
whoever,n. 无论谁，pron. 无论谁
probable,adj. 很可能的
mainly,adv. 主要地
commissioner,n. 长官
athletic,adj. 运动的，运动员的
payroll,n. 工资单
stoneware,n. 粗陶器
exposition,n. 博览会，详细阐述
fortify,v. 加固
moderate,adj. 中等的，温和的；v. 使减轻
infantile,adj. 婴儿的
incomprehensible,adj. 无法理解的
management,n. 管理
behave,n. 表现；v. 表现
contrary,adj. 相反的
promote,v. 促进
provincial,adj. 省的
